id_establecimientos;razon.social;nombre.sucursal;direccion;ccz;barrio;cajas;cadena;long;lat;ciudad;depto;id.depto;localidad
765;DALTIRO S.A.;El Clon - Pando;Gral Artigas 922;;Interior;3;El Clon;-34,718257;-55,96139;Pando;Canelones;3;3322
766;DALTIRO S.A.;El Clon - Pocitos;Av Brasil  3098;;Pocitos;3;El Clon;-34,914118;-56,14948;Montevideo;Montevideo;1;1020
767;DALTIRO S.A.;El Clon - Las Piedras Shopping;Av Bicentenario  312;;Interior;6;El Clon;-34,725448;-56,20293;Las Piedras;Canelones;3;3221
768;DALTIRO S.A.;El Clon - ROCHA;Gral Artigas  144;;Interior;4;El Clon;-34,481595;-54,33502;Rocha;Rocha;14;14320
769;BOWEREY SA;KINKO 1;Benito Blanco 1182 esq. Barreiro 1;;Pocitos;2;Kinko;-34,9111124;-56,1454468;Montevideo;Montevideo;1;1020
770;BOWEREY SA;KINKO 2;Tomas Diago 798 esq. Jaime Zuda�ez 2;;Trouville;2;Kinko;-34,9166748;-56,1521854;Montevideo;Montevideo;1;1020
771;BOWEREY SA;KINKO 3;Gabriel Pereira 3169 esq. 26 de Marzo 3;;Pocitos;2;Kinko;-34,9092691;-56,1478388;Montevideo;Montevideo;1;1020
772;BOWEREY SA;KINKO 4;Av. Gral. Rivera 3649 esq. Bustamante 4;;Buceo;2;Kinko;-34,8997639;-56,1346418;Montevideo;Montevideo;1;1020
773;BOWEREY SA;KINKO 5;Av. Gral. Rivera 2142 esq. Joaquin Requena 5;;Cordon;2;Kinko;-34,9022802;-56,1693546;Montevideo;Montevideo;1;1020
774;BOWEREY SA;KINKO 6;Av. Gral. Rivera 2715 esq. Francisco Soca 6;;Parque Batlle;2;Kinko;-34,9031372;-56,1556223;Montevideo;Montevideo;1;1020
