id_Estab,cadena,ciudad,barrio,Pre_Var12Acum,Ind_Var12Acum
122,El Dorado,Maldonado,Interior,77.53535403228935,50.23335056775189
123,El Dorado,Minas,Interior,76.59875656337145,50.23335056775189
124,El Dorado,Piri�polis,Interior,71.64340015208023,50.23335056775189
125,El Dorado,Treinta y Tres,Interior,73.52579191915719,50.23335056775189
126,El Dorado,Maldonado,Interior,77.4160238638004,50.23335056775189
127,El Dorado,Minas,Interior,75.05312660284811,50.23335056775189
128,El Dorado,Punta del Este,Interior,69.62774192907861,50.23335056775189
129,El Dorado,Punta del Este,Interior,71.32128602085155,50.23335056775189
130,El Dorado,Barra de Maldonado,Interior,71.74078951744404,50.23335056775189
131,El Dorado,La Paloma,Interior,63.08232687714796,50.23335056775189
132,El Dorado,Punta del Este,Interior,76.06124328443724,50.23335056775189
133,El Dorado,Minas,Interior,76.60298309518694,50.23335056775189
134,El Dorado,Pan de Az�car,Interior,77.75012675986291,50.23335056775189
135,El Dorado,San Carlos,Interior,76.85199395419137,50.23335056775189
136,El Dorado,La Paloma,Interior,68.87666390074662,50.23335056775189
137,El Dorado,Maldonado,Interior,76.78048071454735,50.23335056775189
138,El Dorado,Piri�polis,Interior,74.87593589429903,50.23335056775189
139,El Dorado,R�o Branco,Interior,74.01053019399501,50.23335056775189
140,El Dorado,San Carlos,Interior,76.85199395419137,50.23335056775189
141,El Dorado,Treinta y Tres,Interior,76.53312876735541,50.23335056775189
142,El Dorado,Maldonado,Interior,76.79381791194282,50.23335056775189
143,El Dorado,Santa Luc�a,Interior,76.22242239008139,50.23335056775189
144,Ta - Ta,Montevideo,Tres Cruces,73.43811402651312,39.157391942015416
145,El Dorado,Melo,Interior,76.07069280223094,50.23335056775189
146,Macromercado My.,Montevideo,Punta de Rieles ,65.09817948436645,50.23335056775189
147,Macromercado My.,Montevideo,Paso de la Arena,66.7893469314747,50.23335056775189
148,Macromercado My.,Montevideo,La Teja,67.62445478660959,50.23335056775189
149,Macromercado My.,Ciudad de la Costa,Interior,73.0842492349724,50.23335056775189
150,Macromercado My.,Maldonado,Interior,66.0990784276251,50.23335056775189
151,Macromercado My.,Montevideo,Brazo Oriental,72.67984451337284,50.23335056775189
152,Tienda Inglesa,Montevideo,Pocitos,69.69454559278354,50.23335056775189
153,Tienda Inglesa,Montevideo,Carrasco,68.62034312358595,50.23335056775189
154,Tienda Inglesa,Montevideo,Unión,65.54193518899399,50.23335056775189
155,Ta - Ta,Maldonado,Interior,73.5695975224141,39.157391942015416
156,Tienda Inglesa,Ciudad de la Costa,Interior,68.56061311241426,50.23335056775189
157,Tienda Inglesa,Montevideo,Prado ,68.49542709653524,50.23335056775189
158,Tienda Inglesa,Atl�ntida,Interior,70.0109696347456,50.23335056775189
159,Tienda Inglesa,Montevideo,Carrasco,68.74666444874168,50.23335056775189
160,Ta - Ta,Rivera,Interior,63.386555594122406,39.157391942015416
161,Ta - Ta,Ciudad de la Costa,Interior,77.40087359278324,39.157391942015416
164,Ta - Ta,Montevideo,Buceo,83.79260492420921,39.157391942015416
167,Ta - Ta,Montevideo,Pocitos,82.25506331407604,39.157391942015416
168,Ta - Ta,Montevideo,Cerrito,63.03141942101187,39.157391942015416
169,Ta - Ta,Montevideo,Aguada,65.67119970783023,39.157391942015416
171,Ta - Ta,Montevideo,Centro,201.8959842001317,39.157391942015416
172,Ta - Ta,Montevideo,Centro,67.07030997297873,39.157391942015416
173,Ta - Ta,Montevideo,Centro,61.507384861872595,39.157391942015416
174,Ta - Ta,Montevideo,Parque Rod�,75.19913106444609,39.157391942015416
175,Ta - Ta,Montevideo,Reducto,56.961641657557415,39.157391942015416
176,Ta - Ta,Montevideo,Buceo,75.6970501173829,39.157391942015416
177,Ta - Ta,Montevideo,Cordón,64.62547635133645,39.157391942015416
178,Ta - Ta,Montevideo,Centro,65.76420127628413,39.157391942015416
179,Ta - Ta,Montevideo,Barrio Sur,75.87999456374013,39.157391942015416
180,Ta - Ta,Tacuaremb�,Interior,54.99383795989075,39.157391942015416
181,Ta - Ta,Tacuaremb�,Interior,54.656043982414324,39.157391942015416
